               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11738,            0.021397,            0.026161,           0.0014556,             0.30484,           0.0016155,          0.00036585,             0.10115,            0.014432,            0.019733,              0.0739,              0.0029,              0.0029
                   1,            0.093658,            0.021767,            0.010872,             0.16219,            0.073874,            0.034719,           0.0072374,            0.098564,            0.011752,            0.007631,            0.046861,           0.0058611,           0.0058611
                   2,            0.086567,            0.021155,           0.0048033,             0.45049,             0.46599,             0.39063,            0.077347,            0.083705,            0.012758,           0.0026194,            0.019783,           0.0087825,           0.0087825
                   3,            0.079941,            0.018848,           0.0036035,             0.21361,             0.31633,             0.20253,             0.05393,            0.076714,            0.011843,           0.0025421,            0.009802,            0.009802,            0.009802
                   4,            0.072077,            0.018229,           0.0032596,             0.36096,              0.4626,             0.32313,            0.096393,            0.069551,            0.011261,           0.0022267,            0.009802,            0.009802,            0.009802
                   5,            0.064091,            0.016673,            0.002876,             0.46829,              0.6155,              0.5208,             0.18207,            0.056018,           0.0098386,            0.001926,            0.009736,            0.009736,            0.009736
                   6,            0.060709,            0.014848,           0.0021638,             0.43685,             0.67081,             0.50036,             0.19991,            0.062658,            0.008251,           0.0017071,             0.00967,             0.00967,             0.00967
                   7,            0.057787,            0.014305,           0.0019501,             0.48901,             0.58265,             0.55946,             0.24133,            0.060243,           0.0079623,           0.0016827,            0.009604,            0.009604,            0.009604
                   8,            0.055445,            0.013848,           0.0018736,             0.53528,              0.6628,             0.55863,              0.1955,            0.057025,           0.0078171,           0.0016407,            0.009538,            0.009538,            0.009538
                   9,            0.053111,            0.011909,           0.0018093,             0.82255,             0.74832,             0.82764,             0.40913,            0.052069,           0.0072928,           0.0016753,            0.009472,            0.009472,            0.009472
                  10,            0.052404,            0.013055,           0.0018269,             0.80007,             0.62216,             0.74135,             0.34508,            0.054547,           0.0070958,           0.0015994,            0.009406,            0.009406,            0.009406
                  11,            0.050681,             0.01278,           0.0015753,             0.75314,             0.74228,             0.80177,             0.35065,            0.050482,           0.0070732,            0.001649,             0.00934,             0.00934,             0.00934
                  12,            0.048195,             0.01226,           0.0013461,             0.77002,             0.61023,             0.74845,             0.36244,            0.047267,           0.0076749,           0.0015983,            0.009274,            0.009274,            0.009274
                  13,            0.047941,             0.01118,           0.0012207,             0.72937,             0.64648,              0.7669,             0.26035,             0.05229,           0.0070934,           0.0014469,            0.009208,            0.009208,            0.009208
                  14,            0.046741,            0.010974,           0.0013193,              0.8196,             0.82711,             0.87322,             0.43598,            0.044319,           0.0067519,           0.0015571,            0.009142,            0.009142,            0.009142
                  15,            0.042673,            0.010961,           0.0012856,             0.85634,             0.82825,             0.87851,             0.42678,            0.041903,           0.0068706,           0.0014552,            0.009076,            0.009076,            0.009076
                  16,            0.044053,             0.01044,           0.0012253,              0.8767,             0.83446,             0.86221,             0.40551,            0.045719,           0.0065567,           0.0015865,             0.00901,             0.00901,             0.00901
                  17,            0.042226,            0.011362,           0.0010998,             0.87354,             0.80935,             0.89113,             0.44628,             0.04123,            0.006452,           0.0011727,            0.008944,            0.008944,            0.008944
                  18,            0.042661,           0.0097448,           0.0010075,             0.88445,             0.77252,             0.87573,             0.43305,            0.042604,           0.0067426,           0.0010604,            0.008878,            0.008878,            0.008878
                  19,             0.04316,            0.010063,           0.0011489,             0.88105,             0.82714,             0.90129,             0.40494,            0.043576,           0.0067448,           0.0011046,            0.008812,            0.008812,            0.008812
                  20,            0.041464,           0.0099516,           0.0010183,             0.82193,             0.86871,             0.87889,             0.43802,            0.040849,           0.0069803,           0.0013122,            0.008746,            0.008746,            0.008746
                  21,            0.042455,            0.010646,           0.0010477,             0.87312,             0.79405,              0.8813,             0.46652,            0.037751,           0.0065968,           0.0010127,             0.00868,             0.00868,             0.00868
                  22,            0.040443,           0.0099384,            0.001021,             0.90478,             0.86667,             0.90418,             0.39995,            0.041661,           0.0064041,           0.0011258,            0.008614,            0.008614,            0.008614
                  23,             0.03833,            0.010518,          0.00090698,             0.83701,             0.88238,             0.89336,             0.41812,            0.042181,           0.0064375,           0.0010753,            0.008548,            0.008548,            0.008548
                  24,            0.039659,           0.0097348,          0.00085184,             0.82238,             0.85736,             0.88672,             0.44568,            0.037943,           0.0068539,           0.0010194,            0.008482,            0.008482,            0.008482
                  25,            0.037158,           0.0098015,          0.00093211,             0.83381,             0.85627,             0.89769,             0.45502,            0.041104,            0.006321,           0.0010519,            0.008416,            0.008416,            0.008416
                  26,            0.038373,           0.0092911,           0.0009517,             0.86262,             0.87585,              0.8986,             0.47472,            0.038581,           0.0062582,            0.001023,             0.00835,             0.00835,             0.00835
                  27,            0.037134,            0.009049,          0.00078855,             0.89896,             0.88204,             0.92072,             0.47826,            0.036793,           0.0064952,          0.00088446,            0.008284,            0.008284,            0.008284
                  28,            0.037877,           0.0096288,          0.00075137,             0.88212,             0.88131,             0.91703,             0.48715,            0.040422,           0.0063734,          0.00087576,            0.008218,            0.008218,            0.008218
                  29,            0.037143,            0.009017,          0.00089684,             0.84946,             0.89591,             0.90627,             0.45707,            0.039814,           0.0062999,           0.0014189,            0.008152,            0.008152,            0.008152
                  30,            0.037013,            0.009096,           0.0010325,             0.86898,             0.85529,             0.90846,             0.50949,            0.037726,           0.0064154,           0.0011018,            0.008086,            0.008086,            0.008086
                  31,            0.037005,            0.008665,           0.0010427,             0.87991,             0.83863,             0.90775,             0.48455,            0.041026,           0.0067085,           0.0010462,             0.00802,             0.00802,             0.00802
                  32,            0.035517,           0.0093301,          0.00095131,             0.88673,             0.83446,             0.91345,             0.49113,            0.038379,           0.0068208,          0.00096564,            0.007954,            0.007954,            0.007954
                  33,             0.03584,           0.0096043,          0.00075386,             0.88821,             0.85857,             0.91194,             0.47487,            0.036125,           0.0066557,          0.00085886,            0.007888,            0.007888,            0.007888
                  34,             0.03568,           0.0092693,          0.00060507,             0.87051,             0.84748,             0.88081,             0.46889,            0.039084,           0.0066238,          0.00083797,            0.007822,            0.007822,            0.007822
